date,Search
2021.10.14,1470000
2021.10.15,1470000
2021.10.16,5
2021.10.17,7
2021.10.18,2060000
2021.10.19,2060000
2021.10.20,2050000
2021.10.21,2060000
2021.10.22,2060000
2021.10.23,3
2021.10.24,7
2021.10.25,2060000
2021.10.26,2060000
2021.10.27,8
2021.10.28,2060000
2021.10.29,1960000
2021.10.30,2060000
2021.10.31,7
2021.11.1,2060000
2021.11.2,7
2021.11.3,2060000
2021.11.4,10
2021.11.5,1960000
2021.11.6,6
2021.11.7,2030000
2021.11.8,1960000
2021.11.9,10
2021.11.10,1960000
2021.11.11,2060000
2021.11.12,2060000
2021.11.13,7
2021.11.14,2060000
2021.11.15,2060000
2021.11.16,1960000
2021.11.17,1960000
2021.11.18,1960000
2021.11.19,1960000
2021.11.20,2
2021.11.21,10
2021.11.22,2060000
2021.11.23,2060000
2021.11.24,2060000
2021.11.25,2060000
2021.11.26,1960000
2021.11.27,6
2021.11.28,5
2021.11.29,2450000
2021.11.30,2450000
2021.12.1,2450000
2021.12.2,2450000
2021.12.3,2600000
2021.12.4,9
2021.12.5,3
2021.12.6,2450000
2021.12.7,2450000
2021.12.8,21100
2021.12.9,36400
2021.12.10,15400
2021.12.11,15400
2021.12.12,15400
2021.12.13,36400
2021.12.14,21100
2021.12.15,21000
2021.12.16,21100
2021.12.17,37500
2021.12.18,16500
2021.12.19,16500
2021.12.20,16500
2021.12.21,16500
2021.12.22,25000
2021.12.23,25000
2021.12.24,25000
2021.12.25,25000
2021.12.26,47700
2021.12.27,22700
2021.12.28,22700
2021.12.29,22700
2021.12.30,43600
2021.12.31,20900
