word,positive_index
항공사,0.39241549876339654
코로나,0.45446507515473034
항공기,0.4117647058823529
아시아나항공,0.33371559633027525
서비스,0.44880546075085326
아시아,0.3948339483394834
여객기,0.5142857142857142
공정위,0.2619047619047619
네이버,0.4278523489932886
글로벌,0.44984802431610943
지난해,0.4209809264305177
무인기,0.33858267716535434
관계자,0.42650602409638555
위원회,0.29947460595446584
시스템,0.5155131264916468
연구원,0.5859375
마일리지,0.5343511450381679
송현동,0.4382716049382716
항공업,0.38202247191011235
서울시,0.2222222222222222
국제선,0.5626598465473146
친환경,0.24568965517241378
데일리,0.44668587896253603
자회사,0.38223938223938225
화물기,0.4666666666666667
가운데,0.42951541850220265
마무리,0.3485342019543974
스카이,0.51953125
헤럴드,0.4307692307692308
회사채,0.29411764705882354
경쟁력,0.47335423197492166
우기홍,0.16117216117216118
발사체,0.6557377049180327
독과점,0.3291139240506329
클라우드,0.578125
소비자,0.373015873015873
플랫폼,0.39378238341968913
산업은행,0.2550607287449393
수하물,0.6635514018691588
보고서,0.30198019801980197
조원태,0.2596685082872928
바이러스,0.4696969696969697
진에어,0.21397379912663755
부사장,0.33668341708542715
매출액,0.5347826086956522
하반기,0.5523012552301255
파이낸셜,0.466403162055336
보인다,0.42045454545454547
저작권자,0.48546511627906974
조종사,0.6153846153846154
기대감,0.4854368932038835
바이오,0.13
시너지,0.3005181347150259
차세대,0.28921568627450983
디지털,0.4326241134751773
조건부,0.31007751937984496
홈페이지,0.5318181818181819
데이터,0.43243243243243246
베트남,0.11711711711711711
강서구,0.24120603015075376
프로그램,0.47715736040609136
나온다,0.4114583333333333
교통부,0.5119047619047619
트래블,0.4344262295081967
위원장,0.475
지난달,0.422680412371134
기술력,0.31363636363636366
브랜드,0.28225806451612906
라운지,0.5333333333333333
국제공항,0.35968379446640314
항공권,0.4536082474226804
승무원,0.5447154471544715
대해서,0.3735632183908046
국내선,0.43617021276595747
콘텐츠,0.42857142857142855
에어부산,0.2648401826484018
퍼스트,0.42857142857142855
덧붙였,0.4142857142857143
감염증,0.44635193133047213
멤버십,0.3793103448275862
정찰기,1.0
클래스,0.8214285714285714
장거리,0.5806451612903226
하와이,0.3287671232876712
탑승객,0.5039370078740157
온라인,0.3333333333333333
포인트,0.5714285714285714
이벤트,0.8539325842696629
국내외,0.4588235294117647
항공편,0.5625
계획안,0.12962962962962962
알려졌,0.43529411764705883
대한민국,0.25654450261780104
휘트니,0.029850746268656716
포스트,0.3709677419354839
기내식,0.672
솔루션,0.7205882352941176
무착륙,0.7402597402597403
스텔스,0.2608695652173913
하이브리드,0.4925373134328358
연합뉴스,0.2857142857142857
투데이,0.5070422535211268
온실가스,0.07692307692307693
임직원,0.2761904761904762
새로운,0.381294964028777
간담회,0.3153153153153153
나머지,0.54375
모바일,0.4968944099378882
오미크론,0.6538461538461539
이어지,0.3878787878787879
위해서,0.24161073825503357
싱가포르,0.5338345864661654
거래법,0.20168067226890757
시상식,0.36363636363636365
어려운,0.5419354838709678
노하우,0.48905109489051096
성수기,0.5234899328859061
자동차,0.20454545454545456
비즈니스,0.6434782608695652
이어질,0.4744525547445255
고성능,0.4246575342465753
프레스티지,0.7701149425287356
어려움,0.6503496503496503
프로젝트,0.33695652173913043
계열사,0.3020833333333333
한다는,0.33406593406593404
네트워크,0.18627450980392157
대부분,0.5037037037037037
하늘길,0.2222222222222222
부동산,0.4429530201342282
터미널,0.44086021505376344
상반기,0.41818181818181815
특별기,0.7631578947368421
현대차,0.5217391304347826
테스트,0.19402985074626866
센서스,0.4
늘어난,0.4117647058823529
조성욱,0.4025974025974026
플러스,0.3013698630136986
말레이시아,0.25
면세점,0.42857142857142855
전문가,0.411214953271028
에너지,0.036585365853658534
디자인,0.7763157894736842
오른쪽,0.368
격납고,0.6545454545454545
미디어,0.32857142857142857
사업자,0.22857142857142856
서프라이즈,0.4470588235294118
비행기,0.19811320754716982
달한다,0.456
크루즈,0.5
추진제,0.8846153846153846
컨소시엄,0.2891566265060241
우리나라,0.453125
연구소,0.0625
이수근,0.18518518518518517
마스크,0.5757575757575758
모빌리티,0.3707865168539326
오스카상,0.32432432432432434
인천국제공항공사,0.030303030303030304
해외여행,0.6067415730337079
수송량,0.5760869565217391
전시회,0.5512820512820513
최대한,0.33064516129032256
전해졌,0.43859649122807015
종로구,0.3670886075949367
협력체,0.0
이동우,0.4067796610169492
트랙스,0.3170731707317073
줄어들,0.6057692307692307
리프트,0.42592592592592593
중소기업,0.8235294117647058
파인애플,0.43478260869565216
실시간,0.75
나선다,0.21739130434782608
차입금,0.6619718309859155
인정받,0.1896551724137931
업그레이드,0.5192307692307693
제작사,0.18604651162790697
지원금,0.4444444444444444
태평양,0.43956043956043955
대상자,0.08333333333333333
스마트폰,0.8351648351648352
레이더,0.0
코리아,0.3064516129032258
기다리,0.2553191489361702
회전익,0.5333333333333333
투자자,0.3764705882352941
중공업,0.4
전세기,0.55
화이자,0.325
한림원,0.29545454545454547
스틱스,1.0
양지환,0.47058823529411764
증권사,0.24
인프라,0.13793103448275862
반도체,0.6326530612244898
시유지,0.2916666666666667
일반석,0.6753246753246753
토정비결,0.41414141414141414
로스앤젤레스,0.569620253164557
오퍼레이션,0.1746031746031746
경기도,0.26744186046511625
스페이스,0.5686274509803921
동남아,0.5333333333333333
거래일,0.5909090909090909
마포구,0.09523809523809523
입니다,0.3620689655172414
마케팅,0.17647058823529413
지주사,0.5
중립항,0.14285714285714285
영종도,0.23684210526315788
내다봤,0.48148148148148145
티웨이항공,0.47761194029850745
