tweet,tag
엔씨소프트 놈들 회사운영을 어떻게 하길래 주식이 이따위냐. 진짜 언제 팔 수 있을까.. 화가 난다,[]
"RT @SageCaelitus: :: 국민연금, 주식 5% 이상을 보유한 국내 증권시장 내 투자종목 수 265개(19년 말 314개, 20년 말 275개)
:: 투자비중 축소 계획, 20년 10월 17.9% -&gt; 21년12월 16.8%
:: 삼성전자…",[]
":: 국민연금, 주식 5% 이상을 보유한 국내 증권시장 내 투자종목 수 265개(19년 말 314개, 20년 말 275개)
:: 투자비중 축소 계획, 20년 10월 17.9% -&gt; 21년12월 16.8%
:… https://t.co/hFqBSiTfXS",[]
