날짜,요일,공휴일,주말
2021-09-17,금,0,0
2021-09-18,토,0,1
2021-09-19,일,0,1
2021-09-20,월,1,0
2021-09-21,화,1,0
2021-09-22,수,1,0
2021-09-23,목,0,0
2021-09-24,금,0,0
2021-09-25,토,0,1
2021-09-26,일,0,1
2021-09-27,월,0,0
2021-09-28,화,0,0
2021-09-29,수,0,0
2021-09-30,목,0,0
2021-10-01,금,0,0
2021-10-02,토,0,1
2021-10-03,일,1,1
2021-10-04,월,0,0
2021-10-05,화,0,0
2021-10-06,수,0,0
2021-10-07,목,0,0
2021-10-08,금,0,0
2021-10-09,토,1,1
2021-10-10,일,0,1
2021-10-11,월,0,0
2021-10-12,화,0,0
2021-10-13,수,0,0
2021-10-14,목,0,0
2021-10-15,금,0,0
2021-10-16,토,0,1
2021-10-17,일,0,1
2021-10-18,월,0,0
2021-10-19,화,0,0
2021-10-20,수,0,0
2021-10-21,목,0,0
2021-10-22,금,0,0
2021-10-23,토,0,1
2021-10-24,일,0,1
2021-10-25,월,0,0
2021-10-26,화,0,0
2021-10-27,수,0,0
2021-10-28,목,0,0
2021-10-29,금,0,0
2021-10-30,토,0,1
2021-10-31,일,0,1
2021-11-01,월,0,0
2021-11-02,화,0,0
2021-11-03,수,0,0
2021-11-04,목,0,0
2021-11-05,금,0,0
2021-11-06,토,0,1
2021-11-07,일,0,1
2021-11-08,월,0,0
2021-11-09,화,0,0
2021-11-10,수,0,0
2021-11-11,목,0,0
2021-11-12,금,0,0
2021-11-13,토,0,1
2021-11-14,일,0,1
2021-11-15,월,0,0
2021-11-16,화,0,0
2021-11-17,수,0,0
2021-11-18,목,0,0
2021-11-19,금,0,0
2021-11-20,토,0,1
2021-11-21,일,0,1
2021-11-22,월,0,0
2021-11-23,화,0,0
2021-11-24,수,0,0
2021-11-25,목,0,0
2021-11-26,금,0,0
2021-11-27,토,0,1
2021-11-28,일,0,1
2021-11-29,월,0,0
2021-11-30,화,0,0
2021-12-01,수,0,0
2021-12-02,목,0,0
2021-12-03,금,0,0
2021-12-04,토,0,1
2021-12-05,일,0,1
2021-12-06,월,0,0
2021-12-07,화,0,0
2021-12-08,수,0,0
2021-12-09,목,0,0
2021-12-10,금,0,0
2021-12-11,토,0,1
2021-12-12,일,0,1
2021-12-13,월,0,0
2021-12-14,화,0,0
2021-12-15,수,0,0
2021-12-16,목,0,0
2021-12-17,금,0,0
2021-12-18,토,0,1
2021-12-19,일,0,1
2021-12-20,월,0,0
2021-12-21,화,0,0
2021-12-22,수,0,0
2021-12-23,목,0,0
2021-12-24,금,0,0
2021-12-25,토,1,1
2021-12-26,일,0,1
2021-12-27,월,0,0
2021-12-28,화,0,0
2021-12-29,수,0,0
2021-12-30,목,0,0
2021-12-31,금,0,0
2022-01-01,토,1,1
2022-01-02,일,0,1
2022-01-03,월,0,0
2022-01-04,화,0,0
2022-01-05,수,0,0
2022-01-06,목,0,0
2022-01-07,금,0,0
2022-01-08,토,0,1
2022-01-09,일,0,1
2022-01-10,월,0,0
2022-01-11,화,0,0
2022-01-12,수,0,0
2022-01-13,목,0,0
2022-01-14,금,0,0
2022-01-15,토,0,1
2022-01-16,일,0,1
2022-01-17,월,0,0
2022-01-18,화,0,0
2022-01-19,수,0,0
2022-01-20,목,0,0
2022-01-21,금,0,0
2022-01-22,토,0,1
2022-01-23,일,0,1
2022-01-24,월,0,0
2022-01-25,화,0,0
2022-01-26,수,0,0
2022-01-27,목,0,0
2022-01-28,금,0,0
2022-01-29,토,0,1
2022-01-30,일,0,1
2022-01-31,월,1,0
2022-02-01,화,1,0
2022-02-02,수,1,0
2022-02-03,목,0,0
